Market,Commodity,Classification,Grade,Sex,Wholesale,Retail,Supply Volume,County,Date
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-16
Gikomba,Dry Maize,White Maize,-,-,50.00/Kg,60.00/Kg,,Nairobi,2025-12-16
Kerugoya,Dry Maize,White Maize,-,-,40.00/Kg,65.00/Kg,4500,Kirinyaga,2025-12-15
Ngurubani Market,Dry Maize,White Maize,-,-,46.67/Kg,50.00/Kg,5450,Kirinyaga,2025-12-15
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-15
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-15
Ngurubani Market,Dry Maize,White Maize,-,-,46.67/Kg,50.00/Kg,4500,Kirinyaga,2025-12-12
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,55.00/Kg,,Kirinyaga,2025-12-11
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-11
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-11
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-10
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-10
Ngurubani Market,Dry Maize,White Maize,-,-,40.00/Kg,45.00/Kg,6250,Kirinyaga,2025-12-09
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-09
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-09
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-12-08
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-08
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-08
Ngurubani Market,Dry Maize,White Maize,-,-,40.00/Kg,45.00/Kg,6250,Kirinyaga,2025-12-06
Makutano Kirinyaga,Dry Maize,White Maize,-,-,40.00/Kg,44.44/Kg,3000,Kirinyaga,2025-12-06
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-05
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-05
Kagio,Dry Maize,White Maize,-,-,42.22/Kg,65.00/Kg,,Kirinyaga,2025-12-04
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-04
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-04
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-03
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-03
Ngurubani Market,Dry Maize,White Maize,-,-,44.44/Kg,50.00/Kg,5200,Kirinyaga,2025-12-02
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-12-02
Kagio,Dry Maize,White Maize,-,-,46.67/Kg,70.00/Kg,,Kirinyaga,2025-12-02
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-02
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-02
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-12-01
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-12-01
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-28
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-28
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,55.00/Kg,,Kirinyaga,2025-11-27
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-11-27
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-11-27
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-27
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-27
Ngurubani Market,Dry Maize,White Maize,-,-,44.44/Kg,50.00/Kg,4580,Kirinyaga,2025-11-27
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-26
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-26
Ngurubani Market,Dry Maize,White Maize,-,-,44.44/Kg,50.00/Kg,6780,Kirinyaga,2025-11-25
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-25
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-25
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,75.00/Kg,4500,Kirinyaga,2025-11-24
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,50.00/Kg,,Kirinyaga,2025-11-24
Kawangware,Dry Maize,White Maize,-,-,40.00/Kg,60.00/Kg,,Nairobi,2025-11-24
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-24
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-24
Ngurubani Market,Dry Maize,Mixed-Traditional ,-,-,40.00/Kg,45.00/Kg,6250,Kirinyaga,2025-11-21
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-21
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-21
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-20
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-20
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-19
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-19
Ngurubani Market,Dry Maize,White Maize,-,-,41.11/Kg,50.00/Kg,8500,Kirinyaga,2025-11-18
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-18
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-18
Kerugoya,Dry Maize,White Maize,-,-,50.00/Kg,70.00/Kg,4500,Kirinyaga,2025-11-17
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-17
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-17
Ngurubani Market,Dry Maize,White Maize,-,-,40.56/Kg,50.00/Kg,5200,Kirinyaga,2025-11-14
Gikomba,Dry Maize,Yellow Maize,-,-,77.78/Kg,100.00/Kg,,Nairobi,2025-11-14
Gikomba,Dry Maize,White Maize,-,-,38.89/Kg,55.00/Kg,,Nairobi,2025-11-14
Kutus,Dry Maize,White Maize,-,-,42.00/Kg,50.00/Kg,,Kirinyaga,2025-11-13
Kerugoya,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,4500,Kirinyaga,2025-11-13
